reporter_name,_year,trade_flow,product_group,trade_indicator,total_dollars,total_perc
Brazil,2015,Export, Raw materials,Macro Export (US$ Thousand),80224811.81,41.9746
Brazil,2015,Export,Other,Macro Export (US$ Thousand),3010650.049,1.5753
Brazil,2015,Export,Animal,Micro Export (US$ Thousand),14482623.54,7.5775
Brazil,2015,Export,Chemicals,Micro Export (US$ Thousand),9914079.781,5.1872
Brazil,2015,Export,Food Products,Micro Export (US$ Thousand),22340910.28,11.689
Brazil,2015,Export,Footwear,Micro Export (US$ Thousand),1119148.669,0.5856
Brazil,2015,Export,Fuels,Micro Export (US$ Thousand),13748087.56,7.1932
Brazil,2015,Export,Hides and Skins,Micro Export (US$ Thousand),2372345.152,1.2412
Brazil,2015,Export,Mach and Elec,Micro Export (US$ Thousand),15010347.23,7.8536
Brazil,2015,Export,Metals,Micro Export (US$ Thousand),15266103.3,7.9874
Brazil,2015,Export,Minerals,Micro Export (US$ Thousand),17404507.54,9.1063
Brazil,2015,Export,Miscellaneous,Micro Export (US$ Thousand),5226156.741,2.7344
Brazil,2015,Export,Plastic or Rubber,Micro Export (US$ Thousand),5127817.451,2.6829
Brazil,2015,Export,Stone and Glass,Micro Export (US$ Thousand),4673987.676,2.4455
Brazil,2015,Export,Textiles and Clothing,Micro Export (US$ Thousand),2378807.528,1.2446
Brazil,2015,Export,Transportation,Micro Export (US$ Thousand),16243087.04,8.4986
Brazil,2015,Export,Vegetable,Micro Export (US$ Thousand),35792023.54,18.7268
Brazil,2015,Export,Wood,Micro Export (US$ Thousand),10026852.8,5.2462
Brazil,2015,Import,  All Products,Import (US$ Thousand),171446211.7,100
