reporter_name,_year,trade_flow,product_group,_indicator,total_dollars,total_dollars
Germany,2013,Import,Footwear,Micro Import (US$ Thousand),10970812.39,0.924
Germany,2013,Import,Fuels,Micro Import (US$ Thousand),168930182,14.2281
Germany,2013,Import,Hides and Skins,Micro Import (US$ Thousand),5628930.422,0.4741
Germany,2013,Import,Mach and Elec,Micro Import (US$ Thousand),263475213.3,22.1911
Germany,2013,Import,Metals,Micro Import (US$ Thousand),99379651.83,8.3702
Germany,2013,Import,Minerals,Micro Import (US$ Thousand),12607865.64,1.0619
Germany,2013,Import,Miscellaneous,Micro Import (US$ Thousand),92128391.03,7.7595
Germany,2013,Import,Plastic or Rubber,Micro Import (US$ Thousand),60405433.9,5.0876
Germany,2013,Import,Stone and Glass,Micro Import (US$ Thousand),30780785.36,2.5925
Germany,2013,Import,Textiles and Clothing,Micro Import (US$ Thousand),51238543.7,4.3155
Germany,2013,Import,Transportation,Micro Import (US$ Thousand),131436969.4,11.0702
Germany,2013,Import,Vegetable,Micro Import (US$ Thousand),41931578.68,3.5317
Germany,2013,Import,Wood,Micro Import (US$ Thousand),31732665.83,2.6727
Germany,2014,Export,  All Products,Export (US$ Thousand),1498238432,100
Germany,2014,Export, Capital goods,Macro Export (US$ Thousand),569498398.2,38.0112
Germany,2014,Export, Consumer goods,Macro Export (US$ Thousand),525679676.3,35.0865
Germany,2014,Export, Intermediate goods,Macro Export (US$ Thousand),289369755.1,19.314
Germany,2014,Export, Raw materials,Macro Export (US$ Thousand),43516040.08,2.9045
Germany,2014,Export,Other,Macro Export (US$ Thousand),70174562.69,4.6838
Germany,2014,Export,Animal,Micro Export (US$ Thousand),27272811,1.8203
Germany,2014,Export,Chemicals,Micro Export (US$ Thousand),184433369.2,12.31
Germany,2014,Export,Food Products,Micro Export (US$ Thousand),45866621.88,3.0614
Germany,2014,Export,Footwear,Micro Export (US$ Thousand),6510024.66,0.4345
Germany,2014,Export,Fuels,Micro Export (US$ Thousand),35393106.54,2.3623
Germany,2014,Export,Hides and Skins,Micro Export (US$ Thousand),4112754.068,0.2745
Germany,2014,Export,Mach and Elec,Micro Export (US$ Thousand),397842153.4,26.554
Germany,2014,Export,Metals,Micro Export (US$ Thousand),116162378.4,7.7533
Germany,2014,Export,Minerals,Micro Export (US$ Thousand),3003615.64,0.2005
Germany,2014,Export,Miscellaneous,Micro Export (US$ Thousand),156100098.5,10.4189
Germany,2014,Export,Plastic or Rubber,Micro Export (US$ Thousand),81149545.54,5.4163
Germany,2014,Export,Stone and Glass,Micro Export (US$ Thousand),30364995.6,2.0267
Germany,2014,Export,Textiles and Clothing,Micro Export (US$ Thousand),36395128.57,2.4292
Germany,2014,Export,Transportation,Micro Export (US$ Thousand),313373742.4,20.9161
Germany,2014,Export,Vegetable,Micro Export (US$ Thousand),19521927.01,1.303
Germany,2014,Export,Wood,Micro Export (US$ Thousand),40736160.02,2.7189
Germany,2014,Import,  All Products,Import (US$ Thousand),1214915242,100
Germany,2014,Import, Capital goods,Macro Import (US$ Thousand),355055592.5,29.2247
Germany,2014,Import, Consumer goods,Macro Import (US$ Thousand),408609169.7,33.6327
Germany,2014,Import, Intermediate goods,Macro Import (US$ Thousand),251455383.2,20.6974
Germany,2014,Import, Raw materials,Macro Import (US$ Thousand),146884503.4,12.0901
Germany,2014,Import,Other,Macro Import (US$ Thousand),52910593.14,4.3551
Germany,2014,Import,Animal,Micro Import (US$ Thousand),25887939.88,2.1308
Germany,2014,Import,Chemicals,Micro Import (US$ Thousand),128637896.3,10.5882
Germany,2014,Import,Food Products,Micro Import (US$ Thousand),39696626.05,3.2674
Germany,2014,Import,Footwear,Micro Import (US$ Thousand),12306525.66,1.013
Germany,2014,Import,Fuels,Micro Import (US$ Thousand),150875583,12.4186
Germany,2014,Import,Hides and Skins,Micro Import (US$ Thousand),6107099.773,0.5027
Germany,2014,Import,Mach and Elec,Micro Import (US$ Thousand),277977783,22.8804
Germany,2014,Import,Metals,Micro Import (US$ Thousand),102395933.2,8.4282
Germany,2014,Import,Minerals,Micro Import (US$ Thousand),12488760.64,1.028
Germany,2014,Import,Miscellaneous,Micro Import (US$ Thousand),99250218.07,8.1693
Germany,2014,Import,Plastic or Rubber,Micro Import (US$ Thousand),62186638.66,5.1186
Germany,2014,Import,Stone and Glass,Micro Import (US$ Thousand),29125242.53,2.3973
Germany,2014,Import,Textiles and Clothing,Micro Import (US$ Thousand),54147295,4.4569
Germany,2014,Import,Transportation,Micro Import (US$ Thousand),138985222,11.4399
Germany,2014,Import,Vegetable,Micro Import (US$ Thousand),41503341.51,3.4162
Germany,2014,Import,Wood,Micro Import (US$ Thousand),33343136.82,2.7445
Germany,2015,Export,  All Products,Export (US$ Thousand),1328500249,100
Germany,2015,Export, Capital goods,Macro Export (US$ Thousand),506178367.8,38.1015
Germany,2015,Export, Consumer goods,Macro Export (US$ Thousand),476147686.1,35.841
Germany,2015,Export, Intermediate goods,Macro Export (US$ Thousand),247623739.7,18.6393
Germany,2015,Export, Raw materials,Macro Export (US$ Thousand),35667908.49,2.6848
Germany,2015,Export,Other,Macro Export (US$ Thousand),62882546.43,4.7334
Germany,2015,Export,Animal,Micro Export (US$ Thousand),21501126.66,1.6185
Germany,2015,Export,Chemicals,Micro Export (US$ Thousand),165052227.9,12.424
Germany,2015,Export,Food Products,Micro Export (US$ Thousand),40566757.88,3.0536
Germany,2015,Export,Footwear,Micro Export (US$ Thousand),5842284.701,0.4398
Germany,2015,Export,Fuels,Micro Export (US$ Thousand),29770087.21,2.2409
Germany,2015,Export,Hides and Skins,Micro Export (US$ Thousand),3506095.066,0.2639
Germany,2015,Export,Mach and Elec,Micro Export (US$ Thousand),347718129.4,26.1737
Germany,2015,Export,Metals,Micro Export (US$ Thousand),98242444.55,7.395
Germany,2015,Export,Minerals,Micro Export (US$ Thousand),2594348.537,0.1953
Germany,2015,Export,Miscellaneous,Micro Export (US$ Thousand),139349753,10.4893
Germany,2015,Export,Plastic or Rubber,Micro Export (US$ Thousand),69749204.51,5.2502
Germany,2015,Export,Stone and Glass,Micro Export (US$ Thousand),25955148.99,1.9537
Germany,2015,Export,Textiles and Clothing,Micro Export (US$ Thousand),31224534.43,2.3504
Germany,2015,Export,Transportation,Micro Export (US$ Thousand),295133722.7,22.2156
Germany,2015,Export,Vegetable,Micro Export (US$ Thousand),17629784.15,1.327
Germany,2015,Export,Wood,Micro Export (US$ Thousand),34664598.73,2.6093
Germany,2015,Import,  All Products,Import (US$ Thousand),1057535854,100
Germany,2015,Import, Capital goods,Macro Import (US$ Thousand),321746574,30.4242
Germany,2015,Import, Consumer goods,Macro Import (US$ Thousand),362627216.1,34.2898
Germany,2015,Import, Intermediate goods,Macro Import (US$ Thousand),219910199.8,20.7946
Germany,2015,Import, Raw materials,Macro Import (US$ Thousand),104693711.1,9.8998
Germany,2015,Import,Other,Macro Import (US$ Thousand),48558152.51,4.5916
Germany,2015,Import,Animal,Micro Import (US$ Thousand),21352864.56,2.0191
Germany,2015,Import,Chemicals,Micro Import (US$ Thousand),116666566,11.0319
Germany,2015,Import,Food Products,Micro Import (US$ Thousand),35265502.66,3.3347
Germany,2015,Import,Footwear,Micro Import (US$ Thousand),11761547.32,1.1122
Germany,2015,Import,Fuels,Micro Import (US$ Thousand),99639046.49,9.4218
