reporter_name,_year,trade_flow,product_group,trade_indicator,total_dollars,total_perc
Australia,2010,Export,Footwear,Micro Export (US$ Thousand),54372.03,0.7462
Australia,2010,Export,Fuels,Micro Export (US$ Thousand),61259839.43,13.574
Australia,2010,Export,Hides and Skins,Micro Export (US$ Thousand),951707.042,0.4872
Australia,2010,Export,Mach and Elec,Micro Export (US$ Thousand),7631057.014,25.3312
Australia,2010,Export,Metals,Micro Export (US$ Thousand),13104816.2,5.3924
Australia,2010,Export,Minerals,Micro Export (US$ Thousand),56278857.22,0.5565
Australia,2010,Export,Miscellaneous,Micro Export (US$ Thousand),13433810.29,9.8066
Australia,2010,Export,Plastic or Rubber,Micro Export (US$ Thousand),1123259.886,3.9493
Australia,2010,Export,Stone and Glass,Micro Export (US$ Thousand),14491556.98,5.0791
Australia,2010,Export,Textiles and Clothing,Micro Export (US$ Thousand),3473046.334,3.5838
Australia,2010,Export,Transportation,Micro Export (US$ Thousand),3665094.569,13.8369
Australia,2010,Export,Vegetable,Micro Export (US$ Thousand),8307513.649,1.1894
Australia,2010,Export,Wood,Micro Export (US$ Thousand),2533308.992,2.7219
Australia,2011,Import,  All Products,Import (US$ Thousand),201703333.7,100
Australia,2011,Import, Capital goods,Macro Import (US$ Thousand),61478070.62,4.726
Australia,2011,Import, Consumer goods,Macro Import (US$ Thousand),82464333.59,11.9294
Australia,2011,Import, Intermediate goods,Macro Import (US$ Thousand),32859596.97,16.5265
Australia,2011,Import, Raw materials,Macro Import (US$ Thousand),19216977,62.8277
Australia,2011,Import,Other,Macro Import (US$ Thousand),5684355.545,3.9904
Australia,2011,Import,Animal,Micro Import (US$ Thousand),1951814.684,4.3679
Australia,2011,Import,Chemicals,Micro Import (US$ Thousand),19053591.37,4.6747
Australia,2011,Import,Food Products,Micro Import (US$ Thousand),6720130.44,1.7945
Australia,2011,Import,Footwear,Micro Import (US$ Thousand),1505067.286,0.0249
Australia,2011,Import,Fuels,Micro Import (US$ Thousand),27379125.38,28.1412
Australia,2011,Import,Hides and Skins,Micro Import (US$ Thousand),982796.945,0.4399
Australia,2011,Import,Mach and Elec,Micro Import (US$ Thousand),51093816.88,3.2642
Australia,2011,Import,Metals,Micro Import (US$ Thousand),10876582.57,5.8929
Australia,2011,Import,Minerals,Micro Import (US$ Thousand),1122450.162,29.5527
Australia,2011,Import,Miscellaneous,Micro Import (US$ Thousand),19780214.51,5.358
Australia,2011,Import,Plastic or Rubber,Micro Import (US$ Thousand),7965845.643,0.4498
Australia,2011,Import,Stone and Glass,Micro Import (US$ Thousand),10244728.94,6.3466
Australia,2011,Import,Textiles and Clothing,Micro Import (US$ Thousand),7228648.995,2.2545
Australia,2011,Import,Transportation,Micro Import (US$ Thousand),27909434.34,1.5644
Australia,2011,Import,Vegetable,Micro Import (US$ Thousand),2399010.14,4.8727
Australia,2011,Import,Wood,Micro Import (US$ Thousand),5490075.438,1.0011
Australia,2011,Export,  All Products,Export (US$ Thousand),212108726.3,100
Australia,2011,Export, Capital goods,Macro Export (US$ Thousand),10742821.02,30.24
Australia,2011,Export, Consumer goods,Macro Export (US$ Thousand),27322433.75,39.8979
Australia,2011,Export, Intermediate goods,Macro Export (US$ Thousand),37402096.64,15.6881
Australia,2011,Export, Raw materials,Macro Export (US$ Thousand),126431548.6,11.0787
Australia,2011,Export,Other,Macro Export (US$ Thousand),10209826.24,3.0953
Australia,2011,Export,Animal,Micro Export (US$ Thousand),10088511.35,0.8901
Australia,2011,Export,Chemicals,Micro Export (US$ Thousand),11225921.68,9.3114
Australia,2011,Export,Food Products,Micro Export (US$ Thousand),4486053.631,3.2473
Australia,2011,Export,Footwear,Micro Export (US$ Thousand),54372.03,0.6807
Australia,2011,Export,Fuels,Micro Export (US$ Thousand),61259839.43,16.8714
Australia,2011,Export,Hides and Skins,Micro Export (US$ Thousand),951707.042,0.4826
Australia,2011,Export,Mach and Elec,Micro Export (US$ Thousand),7631057.014,24.657
Australia,2011,Export,Metals,Micro Export (US$ Thousand),13104816.2,5.2362
Australia,2011,Export,Minerals,Micro Export (US$ Thousand),56278857.22,0.5348
Australia,2011,Export,Miscellaneous,Micro Export (US$ Thousand),13433810.29,9.789
Australia,2011,Export,Plastic or Rubber,Micro Export (US$ Thousand),1123259.886,3.9421
Australia,2011,Export,Stone and Glass,Micro Export (US$ Thousand),14491556.98,4.906
Australia,2011,Export,Textiles and Clothing,Micro Export (US$ Thousand),3473046.334,3.4156
Australia,2011,Export,Transportation,Micro Export (US$ Thousand),3665094.569,12.5511
Australia,2011,Export,Vegetable,Micro Export (US$ Thousand),8307513.649,1.1903
Australia,2011,Export,Wood,Micro Export (US$ Thousand),2533308.992,2.2942
Australia,2012,Import,  All Products,Import (US$ Thousand),250464794.4,100
Australia,2012,Import, Capital goods,Macro Import (US$ Thousand),81090221.22,5.1036
Australia,2012,Import, Consumer goods,Macro Import (US$ Thousand),100155673.1,14.0669
Australia,2012,Import, Intermediate goods,Macro Import (US$ Thousand),36666343.7,16.8185
Australia,2012,Import, Raw materials,Macro Import (US$ Thousand),26696590.87,60.1934
Australia,2012,Import,Other,Macro Import (US$ Thousand),5855965.526,3.8176
Australia,2012,Import,Animal,Micro Import (US$ Thousand),2185233.318,4.5986
Australia,2012,Import,Chemicals,Micro Import (US$ Thousand),22070001.89,5.0549
Australia,2012,Import,Food Products,Micro Import (US$ Thousand),8064597.784,1.8457
Australia,2012,Import,Footwear,Micro Import (US$ Thousand),1787940.33,0.0258
Australia,2012,Import,Fuels,Micro Import (US$ Thousand),42333320.49,28.4459
Australia,2012,Import,Hides and Skins,Micro Import (US$ Thousand),1232835.248,0.4387
Australia,2012,Import,Mach and Elec,Micro Import (US$ Thousand),63001163.35,3.5038
Australia,2012,Import,Metals,Micro Import (US$ Thousand),13653048.22,5.3861
Australia,2012,Import,Minerals,Micro Import (US$ Thousand),1107744.563,27.3308
Australia,2012,Import,Miscellaneous,Micro Import (US$ Thousand),22275047.19,5.1717
Australia,2012,Import,Plastic or Rubber,Micro Import (US$ Thousand),9807053.592,0.4854
Australia,2012,Import,Stone and Glass,Micro Import (US$ Thousand),10064913.45,6.8734
Australia,2012,Import,Textiles and Clothing,Micro Import (US$ Thousand),8249949.566,2.286
Australia,2012,Import,Transportation,Micro Import (US$ Thousand),36255439.57,1.8945
Australia,2012,Import,Vegetable,Micro Import (US$ Thousand),2887828.3,5.733
Australia,2012,Import,Wood,Micro Import (US$ Thousand),5488677.545,0.9256
Australia,2012,Export,  All Products,Export (US$ Thousand),256242913,100
Australia,2012,Export, Capital goods,Macro Export (US$ Thousand),13077563.88,32.3759
Australia,2012,Export, Consumer goods,Macro Export (US$ Thousand),36045328.35,39.9879
Australia,2012,Export, Intermediate goods,Macro Export (US$ Thousand),43096263.21,14.6393
Australia,2012,Export, Raw materials,Macro Export (US$ Thousand),154241212.8,10.6588
Australia,2012,Export,Other,Macro Export (US$ Thousand),9782544.765,2.3381
Australia,2012,Export,Animal,Micro Export (US$ Thousand),11783627.34,0.8725
Australia,2012,Export,Chemicals,Micro Export (US$ Thousand),12952879.12,8.8116
Australia,2012,Export,Food Products,Micro Export (US$ Thousand),4729482.939,3.2199
Australia,2012,Export,Footwear,Micro Export (US$ Thousand),66165.285,0.7138
Australia,2012,Export,Fuels,Micro Export (US$ Thousand),72890517.38,16.9019
Australia,2012,Export,Hides and Skins,Micro Export (US$ Thousand),1124159.114,0.4922
Australia,2012,Export,Mach and Elec,Micro Export (US$ Thousand),8978120.709,25.1537
Australia,2012,Export,Metals,Micro Export (US$ Thousand),13801492.46,5.4511
Australia,2012,Export,Minerals,Micro Export (US$ Thousand),70033112.73,0.4423
Australia,2012,Export,Miscellaneous,Micro Export (US$ Thousand),13252227.56,8.8935
Australia,2012,Export,Plastic or Rubber,Micro Export (US$ Thousand),1243923.353,3.9155
Australia,2012,Export,Stone and Glass,Micro Export (US$ Thousand),17612679.38,4.0185
Australia,2012,Export,Textiles and Clothing,Micro Export (US$ Thousand),5857754.509,3.2939
Australia,2012,Export,Transportation,Micro Export (US$ Thousand),4854601.946,14.4753
Australia,2012,Export,Vegetable,Micro Export (US$ Thousand),14690282.13,1.153
Australia,2012,Export,Wood,Micro Export (US$ Thousand),2371887.047,2.1914
Australia,2013,Import,  All Products,Import (US$ Thousand),232481271.3,100
Australia,2013,Import, Capital goods,Macro Import (US$ Thousand),70146843.48,4.8134
Australia,2013,Import, Consumer goods,Macro Import (US$ Thousand),100773737.6,13.4869
Australia,2013,Import, Intermediate goods,Macro Import (US$ Thousand),33222101.86,15.7859
Australia,2013,Import, Raw materials,Macro Import (US$ Thousand),23556337.34,62.4841
Australia,2013,Import,Other,Macro Import (US$ Thousand),4782251.01,3.4297
Australia,2013,Import,Animal,Micro Import (US$ Thousand),2245617.048,4.9982
Australia,2013,Import,Chemicals,Micro Import (US$ Thousand),19842671.14,4.7014
Australia,2013,Import,Food Products,Micro Import (US$ Thousand),8585799.462,1.8353
Australia,2013,Import,Footwear,Micro Import (US$ Thousand),1815309.019,0.0279
Australia,2013,Import,Fuels,Micro Import (US$ Thousand),40668502.82,25.8656
Australia,2013,Import,Hides and Skins,Micro Import (US$ Thousand),1289683.869,0.5016
Australia,2013,Import,Mach and Elec,Micro Import (US$ Thousand),56648573.42,3.362
Australia,2013,Import,Metals,Micro Import (US$ Thousand),13032220.55,5.0872
Australia,2013,Import,Minerals,Micro Import (US$ Thousand),795256.029,31.5129
Australia,2013,Import,Miscellaneous,Micro Import (US$ Thousand),20902033.95,4.7996
Australia,2013,Import,Plastic or Rubber,Micro Import (US$ Thousand),9306841.632,0.4394
Australia,2013,Import,Stone and Glass,Micro Import (US$ Thousand),8848611.547,6.061
Australia,2013,Import,Textiles and Clothing,Micro Import (US$ Thousand),8465183.81,2.1831
Australia,2013,Import,Transportation,Micro Import (US$ Thousand),31984286.03,1.8807
Australia,2013,Import,Vegetable,Micro Import (US$ Thousand),2851155.968,5.793
Australia,2013,Import,Wood,Micro Import (US$ Thousand),5199525.053,0.9511
Australia,2013,Export,  All Products,Export (US$ Thousand),252155105.3,100
Australia,2013,Export, Capital goods,Macro Export (US$ Thousand),12137221.19,30.1731
Australia,2013,Export, Consumer goods,Macro Export (US$ Thousand),34008007.72,43.347
Australia,2013,Export, Intermediate goods,Macro Export (US$ Thousand),39805029.01,14.2902
Australia,2013,Export, Raw materials,Macro Export (US$ Thousand),157556765.9,10.1326
